method,runtime,input_size
brute-force,46.087554931640625,2500
brute-force,44.346510887145996,2500
brute-force,44.41810607910156,2500
brute-force,44.79906606674194,2500
brute-force,43.650105714797974,2500
brute-force,43.200713872909546,2500
brute-force,43.51752281188965,2500
brute-force,44.87708759307861,2500
brute-force,43.473406076431274,2500
brute-force,43.48037624359131,2500
combinatorial-lookup,821.2463090419769,2500
combinatorial-lookup,841.1214318275452,2500
kdtree,1.112194538116455,2500
kdtree,1.0238006114959717,2500
kdtree,1.0891520977020264,2500
kdtree,1.0658156871795654,2500
kdtree,1.077498435974121,2500
kdtree,1.086132287979126,2500
kdtree,1.093496561050415,2500
kdtree,1.5146024227142334,2500
kdtree,1.7508699893951416,2500
kdtree,1.3208553791046143,2500
bktree,1.6668033599853516,2500
bktree,1.679011344909668,2500
bktree,1.6704943180084229,2500
bktree,1.6756393909454346,2500
bktree,1.693068027496338,2500
bktree,2.414297103881836,2500
bktree,2.546649217605591,2500
bktree,1.6846463680267334,2500
bktree,1.6826176643371582,2500
bktree,1.6570701599121094,2500
brute-force,178.79102635383606,5000
brute-force,179.6343433856964,5000
brute-force,178.12047696113586,5000
brute-force,179.670823097229,5000
brute-force,178.33827257156372,5000
brute-force,178.23845720291138,5000
brute-force,180.58486580848694,5000
brute-force,178.4368908405304,5000
brute-force,179.6223680973053,5000
brute-force,178.15995407104492,5000
kdtree,4.1590895652771,5000
kdtree,5.545409440994263,5000
kdtree,4.142803192138672,5000
kdtree,4.133758544921875,5000
kdtree,5.498100519180298,5000
kdtree,4.135360956192017,5000
kdtree,4.101092100143433,5000
kdtree,5.686195135116577,5000
kdtree,4.158465623855591,5000
kdtree,4.114110946655273,5000
bktree,7.829588413238525,5000
bktree,6.592772006988525,5000
bktree,7.613162040710449,5000
bktree,7.622809886932373,5000
bktree,6.476693868637085,5000
bktree,7.806438207626343,5000
bktree,6.398545503616333,5000
bktree,8.037993431091309,5000
bktree,6.212337493896484,5000
bktree,7.853924036026001,5000
kdtree,18.084983110427856,10000
kdtree,19.072136402130127,10000
kdtree,17.858673572540283,10000
kdtree,17.920482397079468,10000
kdtree,19.367605924606323,10000
kdtree,17.863306760787964,10000
kdtree,17.94924020767212,10000
kdtree,19.280961990356445,10000
kdtree,17.824106454849243,10000
kdtree,18.03626322746277,10000
bktree,29.536017417907715,10000
bktree,27.856287240982056,10000
bktree,27.937084436416626,10000
bktree,27.99258327484131,10000
bktree,27.969889163970947,10000
bktree,29.36412739753723,10000
bktree,29.33532452583313,10000
bktree,28.46643590927124,10000
bktree,28.288850784301758,10000
bktree,28.976027488708496,10000
kdtree,78.64393353462219,20000
kdtree,77.3293833732605,20000
kdtree,76.66211605072021,20000
kdtree,74.92604231834412,20000
kdtree,76.01704406738281,20000
kdtree,76.48717832565308,20000
kdtree,75.13183069229126,20000
kdtree,76.98876953125,20000
kdtree,76.62349247932434,20000
kdtree,77.95234370231628,20000
bktree,108.07949423789978,20000
bktree,111.37111568450928,20000
bktree,108.64382100105286,20000
bktree,110.78971910476685,20000
bktree,111.75454640388489,20000
bktree,117.35536742210388,20000
bktree,110.87599468231201,20000
bktree,113.39982175827026,20000
bktree,113.79793620109558,20000
bktree,110.51121115684509,20000
kdtree,380.5917534828186,40000
kdtree,370.270548582077,40000
kdtree,394.87938356399536,40000
kdtree,389.1416516304016,40000
kdtree,387.10098338127136,40000
kdtree,374.93088817596436,40000
kdtree,388.2364568710327,40000
kdtree,367.0218961238861,40000
kdtree,376.70910716056824,40000
kdtree,385.42316794395447,40000
bktree,435.27930450439453,40000
bktree,432.5885741710663,40000
bktree,434.1388318538666,40000
bktree,427.27278995513916,40000
bktree,426.8140461444855,40000
bktree,428.2035422325134,40000
bktree,431.1144015789032,40000
bktree,428.2690224647522,40000
bktree,431.05972838401794,40000
bktree,426.6850092411041,40000
