method,runtime,input_size
kdtree_gpu_T4,0.23331308364868164,2500
kdtree_gpu_T4,0.24423599243164062,2500
kdtree_gpu_T4,0.22223401069641113,2500
kdtree_gpu_T4,0.231950044631958,2500
kdtree_gpu_T4,0.2627749443054199,2500
kdtree_gpu_T4,0.45850157737731934,2500
kdtree_gpu_T4,0.2407209873199463,2500
kdtree_gpu_T4,0.37627601623535156,2500
kdtree_gpu_T4,0.3458878993988037,2500
kdtree_gpu_T4,0.2208397388458252,2500
kdtree_gpu_T4,0.8667266368865967,10000
kdtree_gpu_T4,0.5163326263427734,10000
kdtree_gpu_T4,0.4437427520751953,10000
kdtree_gpu_T4,0.39719390869140625,10000
kdtree_gpu_T4,0.4053635597229004,10000
kdtree_gpu_T4,0.3916294574737549,10000
kdtree_gpu_T4,0.3635683059692383,10000
kdtree_gpu_T4,0.37114715576171875,10000
kdtree_gpu_T4,0.34700536727905273,10000
kdtree_gpu_T4,0.3436427116394043,10000
kdtree_gpu_T4,1.424428939819336,40000
kdtree_gpu_T4,1.3492276668548584,40000
kdtree_gpu_T4,1.3505096435546875,40000
kdtree_gpu_T4,1.3596692085266113,40000
kdtree_gpu_T4,1.332392930984497,40000
kdtree_gpu_T4,1.3505632877349854,40000
kdtree_gpu_T4,1.4642784595489502,40000
kdtree_gpu_T4,1.4798951148986816,40000
kdtree_gpu_T4,1.3526983261108398,40000
kdtree_gpu_T4,1.3486976623535156,40000
kdtree_gpu_T4,27.220436334609985,160000
kdtree_gpu_T4,26.861899614334106,160000
kdtree_gpu_T4,26.795015811920166,160000
kdtree_gpu_T4,26.48517608642578,160000
kdtree_gpu_T4,27.053139209747314,160000
kdtree_gpu_T4,26.77452778816223,160000
kdtree_gpu_T4,27.616377115249634,160000
kdtree_gpu_T4,27.002718925476074,160000
kdtree_gpu_T4,26.82799744606018,160000
kdtree_gpu_T4,26.446647882461548,160000
